Active Internet connections (w/o servers)
Proto Recv-Q Send-Q Local Address           Foreign Address         State      
unix  3      [ ]         SEQPACKET  CONNECTED     251040   
unix  2      [ ]         DGRAM      CONNECTED     25143    
unix  2      [ ]         DGRAM      CONNECTED     560536   
unix  3      [ ]         STREAM     CONNECTED     423873   
unix  2      [ ]         DGRAM      CONNECTED     414456   
unix  2      [ ]         DGRAM      CONNECTED     324769   
unix  2      [ ]         DGRAM      CONNECTED     95277    
unix  2      [ ]         DGRAM                    28189    /data/system/unsolzygotesocket
unix  2      [ ]         DGRAM      CONNECTED     13859    
unix  2      [ ]         DGRAM      CONNECTED     16760    
unix  3      [ ]         SEQPACKET  CONNECTED     561447   
unix  3      [ ]         STREAM     CONNECTED     44549    
unix  3      [ ]         STREAM     CONNECTED     405331   
unix  3      [ ]         SEQPACKET  CONNECTED     348893   
unix  2      [ ]         DGRAM      CONNECTED     313695   
unix  3      [ ]         SEQPACKET  CONNECTED     39413    
unix  3      [ ]         SEQPACKET  CONNECTED     352472   
unix  2      [ ]         DGRAM      CONNECTED     55390    
unix  2      [ ]         DGRAM      CONNECTED     30232    
unix  2      [ ]         DGRAM      CONNECTED     32794    
unix  3      [ ]         STREAM     CONNECTED     401368   
unix  3      [ ]         STREAM     CONNECTED     353316   
unix  3      [ ]         SEQPACKET  CONNECTED     33863    
unix  3      [ ]         STREAM     CONNECTED     352493   
unix  2      [ ]         DGRAM      CONNECTED     28982    
unix  2      [ ]         DGRAM      CONNECTED     15249    
unix  3      [ ]         STREAM     CONNECTED     590271   
unix  3      [ ]         SEQPACKET  CONNECTED     310084   
unix  3      [ ]         STREAM     CONNECTED     404237   
unix  2      [ ]         DGRAM      CONNECTED     32096    
unix  3      [ ]         STREAM     CONNECTED     30150    
unix  3      [ ]         SEQPACKET  CONNECTED     12026    
unix  3      [ ]         SEQPACKET  CONNECTED     276840   
unix  3      [ ]         SEQPACKET  CONNECTED     44208    
unix  3      [ ]         SEQPACKET  CONNECTED     39897    
unix  2      [ ]         DGRAM      CONNECTED     39401    
unix  2      [ ]         DGRAM      CONNECTED     24728    
unix  2      [ ]         DGRAM      CONNECTED     99057    
unix  3      [ ]         SEQPACKET  CONNECTED     51618    
